anchorUserID,username,type,orderTime,content,anchor,,,,,,,,,
1,蛋蛋***逗逗,直播,2020.07.20,超好得直播,薇娅viya,,,,,,,,,
2,五和***餐具,直播,2020.07.16,非常好,薇娅viya,,,,,,,,,
3,宝拉***ip,直播,2020.07.13,薇娅姐的带货力没的说，团队很奈斯~~~期待下一次~~~,薇娅viya,,,,,,,,,
4,今生***仙花,直播,2020.07.09,非常满意,薇娅viya,,,,,,,,,
5,le***an,直播,2020.07.08,,薇娅viya,,,,,,,,,
6,裕湘***业店,直播,2020.07.01,感谢薇娅姐团队的辛苦付出！！爱你们,薇娅viya,,,,,,,,,
7,米兰***水手,直播,2020.07.01,好评好评好评好评,薇娅viya,,,,,,,,,
8,茜子***牌站,直播,2020.06.30,非常好，辛苦工作人员了,薇娅viya,,,,,,,,,
9,茜子***牌站,直播,2020.06.30,非常好，辛苦工作人员了,薇娅viya,,,,,,,,,
10,永*生,直播,2020.06.30,,薇娅viya,,,,,,,,,
11,雨*达,直播,2020.06.23,十分满意,薇娅viya,,,,,,,,,
12,云康***园店,直播,2020.06.16,大爱薇娅姐，太棒了，团队专业度也不用多说，每一次效果都是超级超级棒~,薇娅viya,,,,,,,,,
13,儿时***未央,直播,2020.06.16,薇娅姐和薇娅团队一直都很给力！！希望以后还有机会多多合作！！,薇娅viya,,,,,,,,,
14,小*老,直播,2020.06.16,感谢薇娅姐和团队工作人员，每次直播效果都很棒,薇娅viya,,,,,,,,,
15,陈娇***12,直播,2020.06.10,感谢薇娅和谦寻团队小伙伴们在疫情期间对贫困地区农产品的大力支持！,薇娅viya,,,,,,,,,
16,im***rd,直播,2020.06.08,很好，爆单了,薇娅viya,,,,,,,,,
17,mu***23,直播,2020.06.03,满意,薇娅viya,,,,,,,,,
18,宝拉***ip,直播,2020.05.31,薇娅姐的带货力不用多说，团队专业度也不用多说，合作好多次，每一次效果都是超级超级棒~~期待下一次合作~~~,薇娅viya,,,,,,,,,
19,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
20,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
21,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
22,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
23,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
24,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
25,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
26,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
27,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
28,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
29,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
30,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
31,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
32,颐*肌,直播,2020.05.29,大爱薇娅viya，一如既往的棒棒哒，也要多多感谢谦寻团队的其他小伙伴们,薇娅viya,,,,,,,,,
33,jd****mr,直播,2020.05.26,感到风格十分,薇娅viya,,,,,,,,,
34,oa***应商,直播,2020.05.19,完美,薇娅viya,,,,,,,,,
